ISO3,Pop,COUNTRY,bovinepppd,shoatpppd,pigpppd,poultrypppd,birdpppd,horsepppd,assespppd,mulespppd,camelpppd,rabbitpppd,rodentspppd,camelidspppd,gamepppd,driednespppd,nespppd,snailpppd,gamepcpa,allmeatpppd,allmeatpcpa,percent_game_pppd,percent_game_pcpa
NIC,6624554,Nicaragua,1.638,0.0041001,1.0335,5.8251,NA,0.25307,NA,NA,NA,NA,NA,NA,NA,2.755e-4,8.7e-5,NA,NA,8.7541326,21181659.86416201,NA,NA
SLV,6486205,El Salvador,2.3252,0.0082002,0.88048,5.7125,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,8.9263802,21147365.721047748,NA,NA
GTM,17915568,Guatemala,1.7541,0.094302,1.761,5.19,NA,0.098908,NA,NA,NA,0,NA,NA,NA,0.051437,0,NA,NA,8.949747,58564112.30111336,NA,NA
PHL,109581078,Philippines,1.1731,0.21491,4.4135,3.6012,NA,0.0044667,NA,NA,NA,NA,NA,NA,NA,0.014343,0.087074,NA,NA,9.5085937,380576601.4741307,NA,NA
UZB,33469203,Uzbekistan,7.2967,1.4898,0.2328,0.49137,NA,0.052041,NA,NA,NA,0.0019512,NA,NA,NA,NA,0.047115,NA,NA,9.6117772,117500385.26918803,NA,NA
MKD,2083374,The former Yugoslav Republic of Macedonia,2.1551,0.57189,2.1534,5.4826,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,10.36299,7885741.629796965,NA,NA
TUR,84339067,Turkey,2.782,1.468,0,6.1486,NA,0.013235,NA,NA,NA,2.6316e-4,NA,NA,NA,0,0.0036165,0.0030188,NA,10.41873346,320947461.22323436,NA,NA
HND,9904607,Honduras,2.1965,0.0123,1.9683,7.1202,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,11.2973,40869764.410466775,NA,NA
ARM,2963243,Armenia,4.9613,1.0309,1.5884,4.7132,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,12.2938,13305881.00878935,NA,NA
GUY,786552,Guyana,0.78762,0.43051,0.75129,11.0714,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,13.04082,3746472.63497676,NA,NA
FJI,896445,Fiji,2.6125,1.8905,1.1155,7.9395,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,13.558,4439248.9784775,NA,NA
UKR,43733762,Ukraine,2.2789,0.15663,4.251,7.1119,NA,0.14714,NA,NA,NA,0.16862,NA,NA,NA,0,1.16e-5,NA,NA,14.114201600000001,225456820.54536164,NA,NA
JPN,126476461,Japan,2.7698,0.061501,4.7198,6.39,NA,0.040571,NA,NA,NA,1.0174e-4,NA,NA,NA,0.0081044,0.012514,NA,NA,14.00239214,646847889.4923674,NA,NA
CUB,11326616,Cuba,1.9455,0.52071,6.4863,5.3621,NA,0.0099265,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,14.3245365,59261273.50550004,NA,NA
COL,50882891,Colombia,5.3282,0.094302,1.744,7.4831,NA,0.084022,NA,NA,NA,0.44484,NA,NA,NA,0.0085353,3.27e-5,NA,NA,15.187032,282250624.28583926,NA,NA
BLZ,397628,Belize,1.6474,0.041001,5.4052,8.1808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,15.274401,2218356.6574824266,NA,NA
CRI,5094118,Costa Rica,5.5761,0.0082002,3.4369,6.5822,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,15.603400200000001,29032101.45476362,NA,NA
MYS,32365999,Malaysia,1.5793,0.25134,2.0855,12.3133,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,16.22944,191859264.67555705,NA,NA
DOM,10847910,Dominican Republic,3.2226,0.082002,3.9706,8.8502,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,16.125401999999998,63892053.734986745,NA,NA
HRV,4105267,Croatia,2.4376,0.29505,10.3305,2.8642,NA,0.40659,NA,NA,NA,0.0021597,NA,NA,NA,0,0.014724,NA,NA,16.3508237,24517222.514065787,NA,NA
PRY,7132538,Paraguay,5.4506,0.22961,8.6382,1.9334,NA,0.33701,NA,NA,NA,NA,NA,NA,NA,0.0051976,NA,NA,NA,16.5940176,43230062.668480285,NA,NA
GRD,112523,Grenada,1.695,0.48811,2.4007,13.4059,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,17.989710000000002,739359.5545250326,NA,NA
SUR,586632,Suriname,3.6149,0.036901,2.8046,11.1246,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,17.581001,3767034.283645338,NA,NA
DMA,71986,Dominica,3.1097,0.59041,4.212,9.6949,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,17.60701,462939.115534365,NA,NA
JAM,2961167,Jamaica,1.4825,0.54275,0.95787,16.5675,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,19.55062,21145290.695035484,NA,NA
MEX,128932753,Mexico,5.0332,0.38131,4.6913,9.2413,NA,0.34036,NA,NA,NA,0.01957,NA,NA,NA,0.02497,6.7567e-4,NA,NA,19.732685670000002,929265210.3154929,NA,NA
SYR,17500658,Syrian Arab Republic,5.7873,0.55732,8.0946,5.2563,0.12175,NA,NA,NA,NA,0.0036783,NA,NA,NA,0.0012332,0,NA,NA,19.8221815,126705670.32939221,NA,NA
MNE,628066,Montenegro,2.6448,0.61924,12.656,4.4449,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,20.36494,4671739.76980611,NA,NA
PSE,5101414,Occupied Palestinian Territory,2.6448,0.61924,12.656,4.4449,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,20.36494,37945818.85668969,NA,NA
TTO,1399488,Trinidad and Tobago,1.2726,1.0017,1.8236,17.3983,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,21.496199999999998,10988061.908630399,NA,NA
PAN,4314767,Panama,6.5206,0,4.161,9.1912,NA,NA,NA,NA,NA,0,NA,NA,NA,1.3654,2.747e-4,NA,NA,21.2384747,33471170.231993113,NA,NA
BOL,11673021,Bolivia (Plurinational State of),6.2131,0.72982,2.8896,11.403,NA,0,NA,NA,NA,0.0072559,0.27753,NA,NA,0,0,NA,NA,21.5203059,91753350.4301245,NA,NA
BLR,9449323,Belarus,4.9129,0.040069,8.4462,8.1593,NA,0.10542,NA,NA,NA,0.04069,NA,NA,NA,0,0,NA,NA,21.704579,74910429.20014371,NA,NA
BRB,287375,Barbados,3.6806,1.3587,1.5035,16.1246,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,22.6674,2379254.5983937504,NA,NA
NCL,285498,New Caledonia,4.3748,0.80137,4.0813,14.13,NA,0,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,23.38747,2438801.976149415,NA,NA
KNA,53199,Saint Kitts and Nevis,2.8251,0.61924,2.0661,18.6461,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,24.15654,469384.152525765,NA,NA
BRN,437479,Brunei Darussalam,2.9892,0.73216,1.6053,20.2043,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,25.53096,4079571.7949040597,NA,NA
MNG,3278290,Mongolia,5.7777,18.4955,0.025313,0.68764,NA,3.0514,NA,NA,NA,NA,NA,NA,NA,0,0.1756,NA,NA,28.213153000000002,33782300.256492145,NA,NA
CHL,19116201,Chile,6.2162,0.24601,7.8835,11.3436,NA,0,NA,NA,NA,1.281e-4,NA,NA,NA,0.21517,2.068e-4,NA,NA,25.904814899999998,180872402.11323518,NA,NA
VEN,28435940,Venezuela (Bolivarian Republic of),6.3292,0.1312,2.4205,14.131,NA,0,NA,NA,NA,4.9146,NA,NA,NA,0.0059557,0,NA,NA,27.932455700000002,290112827.94190264,NA,NA
LCA,183627,Saint Lucia,1.8457,1.0636,3.2737,22.4736,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,28.6566,1921991.3345650502,NA,NA
ATG,97929,Antigua and Barbuda,3.9757,1.4801,4.2596,18.3856,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,28.101,1005132.5082922499,NA,NA
ISL,341243,Iceland,3.4869,7.8134,4.8573,7.933,NA,1.2849,NA,NA,NA,0,NA,NA,NA,0,3.3794,NA,NA,28.7549,3583982.1464406755,NA,NA
BRA,212559417,Brazil,12.2598,0.24601,4.2732,12.7107,NA,0.058676,NA,NA,NA,0.0044582,NA,NA,NA,0,0,NA,NA,29.5528442,2294403830.6864595,NA,NA
VCT,110940,Saint Vincent and the Grenadines,3.2394,0.48082,3.298,23.9736,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,30.99182,1255814.4245697,NA,NA
PYF,280908,French Polynesia,9.1209,1.3186,4.0279,15.672,NA,0,NA,NA,NA,0,NA,NA,NA,0.55829,0.023493,NA,NA,30.721183,3152043.973588401,NA,NA
ISR,8655535,Israel,7.4501,0.76131,0.59897,22.5156,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,31.325979999999998,99035023.2283193,NA,NA
