country,ISO3,Region,Product,PerPersonPerDay_g,Proportion,game_protein_kg_extra,kg_extra,Pasture_m2_kg_protein,sd_Pasture_m2_kg_protein,Crop_m2_kg_protein,sd_Crop_m2_kg_protein,extra_pasture_km,extra_pasture_km_sd,extra_crop_km,extra_crop_km_sd,extra_total_km
Afghanistan,AFG,Southern Asia,Bovine Meat (beef herd),2,0.39370078740157477,1040000,409448.8188976378,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,252.49526295844035,150.99438458244276,45.64107159018907,36.61513903822559,298.1363345486294
Afghanistan,AFG,Southern Asia,Lamb & Mutton,2.14,0.42125984251968507,1040000,438110.2362204725,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,304.2445006216326,308.9029195241273,27.746981627296577,21.54044469948307,331.9914822489291
Afghanistan,AFG,Southern Asia,Poultry Meat,0.94,0.18503937007874013,1040000,192440.94488188974,0,0,59.8095238095238,20.40873170117705,0,0,11.509801274840642,3.9274756124154884,11.509801274840642
Angola,AGO,Middle Africa,Bovine Meat (beef herd),2.0323,0.20478369388550938,1162200,237999.609033739,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,146.76748617512405,87.76824559822593,26.529706993883234,21.283218740929577,173.29719316900727
Angola,AGO,Middle Africa,Lamb & Mutton,0.38693,0.038988808086955734,1162200,45312.792758659954,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,31.467349687059908,31.949159863724077,2.869810208048462,2.2278815373440968,34.33715989510837
Angola,AGO,Middle Africa,Pig Meat,2.3196,0.23373333481121267,1162200,271644.8817175914,0,0,100.852272727273,40.2166981799849,0,0,27.39600369595034,10.92466022017407,27.39600369595034
Angola,AGO,Middle Africa,Poultry Meat,5.1853,0.5224941632163222,1162200,607242.7164900097,0,0,59.8095238095238,20.40873170117705,0,0,36.31889771006915,12.393053678338529,36.31889771006915
Albania,ALB,Southern Europe,Bovine Meat (beef herd),3.686,0.286084614608477,260,74.38199979820402,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,0.04586923134614649,0.02743020315403331,0.008291327318885188,0.006651642742272472,0.05416055866503167
Albania,ALB,Southern Europe,Lamb & Mutton,2.528,0.19620778777271564,260,51.014024820906066,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,0.035426555289444446,0.035968986572420564,0.0032308882386573824,0.0025081924358411846,0.03865744352810183
Albania,ALB,Southern Europe,Poultry Meat,4.335,0.3364559968333553,260,87.47855917667238,0,0,59.8095238095238,20.40873170117705,0,0,0.005232050967900023,0.0017853264438422462,0.005232050967900023
United Arab Emirates,ARE,Western Asia,Bovine Meat (beef herd),1.3899466231993838,0.08228425794215269,4420,363.6964201043149,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,0.22428107981486275,0.1341220552945779,0.04054107273228303,0.032523710840532655,0.2648221525471458
United Arab Emirates,ARE,Western Asia,Lamb & Mutton,2.753461934108582,0.16300379326695114,4420,720.476766239924,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,0.5003331943238247,0.5079940118742535,0.045630195195195164,0.03542348171167489,0.5459633895190199
United Arab Emirates,ARE,Western Asia,Pig Meat,0,0,4420,0,0,0,100.852272727273,40.2166981799849,0,0,0,0,0
United Arab Emirates,ARE,Western Asia,Poultry Meat,12.748602842692033,0.7547119487908961,4420,3335.826813655761,0,0,59.8095238095238,20.40873170117705,0,0,0.19951421323579216,0.06807999444149276,0.19951421323579216
Argentina,ARG,South America,Lamb & Mutton,0.5125138578065463,0.01601281149895519,6500000,104083.27474320875,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,72.28035624206666,73.38707198256196,6.591940733736551,5.117433555282049,78.87229697580321
Benin,BEN,Western Africa,Bovine Meat (beef herd),0.90672780162923206,0.15918222835689236,1040000,165549.51749116805,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,102.08960686250147,61.050481422315514,18.453728600019783,14.804337736203564,120.54333546252126
Benin,BEN,Western Africa,Lamb & Mutton,0.3054982598461195,0.05363229590410571,1040000,55777.58774026994,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,38.73459902310479,39.32768119189044,3.532580556883761,2.742401215170936,42.26717957998856
Benin,BEN,Western Africa,Pig Meat,0.2682243298999508,0.047088604161348246,1040000,48972.14832780218,0,0,100.852272727273,40.2166981799849,0,0,4.9389524591959715,1.9694981085246726,4.9389524591959715
Benin,BEN,Western Africa,Poultry Meat,4.215711868624697,0.7400968715776537,1040000,769700.7464407599,0,0,59.8095238095238,20.40873170117705,0,0,46.03543512045687,15.708616024305174,46.03543512045687
