"ISO3","COUNTRY","country_extra_pasture_km","country_extra_arable_fallow_km","Median_total_glob_trans","Lower_total_glob_trans","Upper_total_glob_trans","Median_total_glob_occ","Lower_total_glob_occ","Upper_total_glob_occ","Median_total_reg_trans","Lower_total_reg_trans","Upper_total_reg_trans","Median_total_reg_occ","Lower_total_reg_occ","Upper_total_reg_occ"
"AFG","Afghanistan",556.739763580073,84.8978544923263,0.141328245018011,0,1.08037986263224,0.000831481468643691,0,0.0065194885045158,27.235105821098,0,179.545035171112,0.15048482085269,0,1.02795263604752
"ALB","Albania",0.0812957866355909,0.0213048145276623,0.000162086078643125,0,0.000812375124863955,7.24754770443848e-07,0,3.71433236881381e-06,0.0274540759148886,0,0.110453584631258,0.000126300459406025,0,0.000505229362564637
"AGO","Angola",178.234835862184,93.1144186079512,0.0923309428841298,0,1.2320562797126,0.0026753919048118,0,0.0181792177213615,6.2471801301903,0,70.8751268850865,0.1440577238237,0,0.939220498648905
"ARG","Argentina",4106.7032576291,627.289042795847,2.84688584845726,0,18.2928639502934,0.0217477297802022,0,0.12511155626539,77.1038573157157,0,454.200405413086,0.704709125623842,0,3.86125781414096
"AUT","Austria",99.3529072062032,65.8992697126663,0.415933458215444,0,1.98175444723329,0.00105483011469261,0,0.00494684805762937,40.4113807488939,0,163.252200402644,0.10467062093874,0,0.417779434671676
"BWA","Botswana",1216.13538386036,253.446191195097,0.175922144626196,0,1.59956941469586,0.00305556554339504,0,0.0189201410488105,13.1202057356842,0,111.292641349591,0.264513149398621,0,1.46187569469831
"BEL","Belgium",26.6731296086318,15.9987928588213,0.0472809172688762,0,0.164869277373278,0.000112269670343653,0,0.000387110484133283,5.686698817064,0,18.0841639883234,0.0136590617885836,0,0.0437178067687506
"BHS","Bahamas",0.246660652243608,0.182602844625632,0.00529198641450496,0,0.0278727289705153,4.53274326935247e-05,0,0.000230567273402055,0.555033267599001,0,3.50133048936986,0.00482291351322871,0,0.0294786970448438
"BOL","Bolivia",5759.76597798812,1187.9738250383,5.85857179430342,0,56.9867080498493,0.0686604540191233,0,0.611689791885816,163.686906344814,0,1562.6089975834,2.03744329519584,0,17.7912674430116
"BEN","Benin",140.824205885606,72.9606967365564,0.0482647591712036,0,0.460460810095105,0.0016121200034273,0,0.00658266761278066,1.3004229704988,0,9.78989129980015,0.0388351199325492,0,0.135775588411206
