Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TP","Crops and livestock products","84","Greece","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","328","","Official data",""
"TP","Crops and livestock products","84","Greece","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","13","","Official data",""
"TP","Crops and livestock products","90","Guinea","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","93","Haiti","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","97","Hungary","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","17","","Official data",""
"TP","Crops and livestock products","97","Hungary","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","1759","","Official data",""
"TP","Crops and livestock products","101","Indonesia","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","15","","Official data",""
"TP","Crops and livestock products","104","Ireland","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","307","","Official data",""
"TP","Crops and livestock products","104","Ireland","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","19","","Official data",""
"TP","Crops and livestock products","106","Italy","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","5080","","Official data",""
"TP","Crops and livestock products","106","Italy","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","1024","","Official data",""
"TP","Crops and livestock products","112","Jordan","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","35","","Official data",""
"TP","Crops and livestock products","108","Kazakhstan","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","40","","Official data",""
"TP","Crops and livestock products","108","Kazakhstan","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","","M","Data not available",""
"TP","Crops and livestock products","114","Kenya","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","114","Kenya","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","118","Kuwait","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","","M","Data not available",""
"TP","Crops and livestock products","113","Kyrgyzstan","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","119","Latvia","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","9","","Official data",""
"TP","Crops and livestock products","119","Latvia","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","38","","Official data",""
"TP","Crops and livestock products","121","Lebanon","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","121","Lebanon","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","126","Lithuania","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","97","","Official data",""
"TP","Crops and livestock products","126","Lithuania","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","83","","Official data",""
"TP","Crops and livestock products","256","Luxembourg","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","184","","Official data",""
"TP","Crops and livestock products","256","Luxembourg","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","42","","Official data",""
"TP","Crops and livestock products","129","Madagascar","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","129","Madagascar","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","131","Malaysia","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","","M","Data not available",""
"TP","Crops and livestock products","131","Malaysia","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","","M","Data not available",""
"TP","Crops and livestock products","134","Malta","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","8","","Official data",""
"TP","Crops and livestock products","134","Malta","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","1","","Official data",""
"TP","Crops and livestock products","136","Mauritania","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","143","Morocco","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","149","Nepal","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","150","Netherlands","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","7095","","Official data",""
"TP","Crops and livestock products","150","Netherlands","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","5672","","Official data",""
"TP","Crops and livestock products","156","New Zealand","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","69","","Official data",""
"TP","Crops and livestock products","156","New Zealand","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","9219","","Official data",""
"TP","Crops and livestock products","158","Niger","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","162","Norway","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","54","","Official data",""
"TP","Crops and livestock products","162","Norway","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","13","","Official data",""
"TP","Crops and livestock products","221","Oman","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","","Official data",""
"TP","Crops and livestock products","168","Papua New Guinea","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","170","Peru","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","173","Poland","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","293","","Official data",""
"TP","Crops and livestock products","173","Poland","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","6395","","Official data",""
"TP","Crops and livestock products","174","Portugal","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","589","*","Unofficial figure",""
"TP","Crops and livestock products","174","Portugal","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","36","","Official data",""
"TP","Crops and livestock products","179","Qatar","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","3","F","FAO estimate",""
"TP","Crops and livestock products","179","Qatar","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","117","Republic of Korea","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","146","Republic of Moldova","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","183","Romania","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","11","*","Unofficial figure",""
"TP","Crops and livestock products","183","Romania","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","20","","Official data",""
"TP","Crops and livestock products","185","Russian Federation","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","3","","Official data",""
"TP","Crops and livestock products","185","Russian Federation","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","194","Saudi Arabia","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","0","*","Unofficial figure",""
"TP","Crops and livestock products","194","Saudi Arabia","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","729","","Official data",""
"TP","Crops and livestock products","195","Senegal","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","1","","Official data",""
"TP","Crops and livestock products","195","Senegal","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","4","","Official data",""
"TP","Crops and livestock products","272","Serbia","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","199","Slovakia","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","710","*","Unofficial figure",""
"TP","Crops and livestock products","199","Slovakia","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","32","*","Unofficial figure",""
"TP","Crops and livestock products","198","Slovenia","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","912","","Official data",""
"TP","Crops and livestock products","198","Slovenia","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","848","","Official data",""
"TP","Crops and livestock products","202","South Africa","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","1357","","Official data",""
"TP","Crops and livestock products","202","South Africa","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","1738","","Official data",""
"TP","Crops and livestock products","203","Spain","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","309","","Official data",""
"TP","Crops and livestock products","203","Spain","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","3161","","Official data",""
"TP","Crops and livestock products","206","Sudan (former)","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","0","F","FAO estimate",""
"TP","Crops and livestock products","210","Sweden","5610","Import Quantity","1163","Meat, game","2011","2011","tonnes","1197","","Official data",""
"TP","Crops and livestock products","210","Sweden","5910","Export Quantity","1163","Meat, game","2011","2011","tonnes","461","","Official data",""
