Country name,MedianAnnual cropsMammals,lower 95%Annual cropsMammals,upper 95%Annual cropsMammals,MedianPermanent cropsMammals,lower 95%Permanent cropsMammals,upper 95%Permanent cropsMammals,MedianPastureMammals,lower 95%PastureMammals,upper 95%PastureMammals,MedianUrbanMammals,lower 95%UrbanMammals,upper 95%UrbanMammals,MedianExtensive forestryMammals,lower 95%Extensive forestryMammals,upper 95%Extensive forestryMammals,MedianIntensive forestryMammals,lower 95%Intensive forestryMammals,upper 95%Intensive forestryMammals,MedianAnnual cropsBirds,lower 95%Annual cropsBirds,upper 95%Annual cropsBirds,MedianPermanent cropsBirds,lower 95%Permanent cropsBirds,upper 95%Permanent cropsBirds,MedianPastureBirds,lower 95%PastureBirds,upper 95%PastureBirds,MedianUrbanBirds,lower 95%UrbanBirds,upper 95%UrbanBirds,MedianExtensive forestryBirds,lower 95%Extensive forestryBirds,upper 95%Extensive forestryBirds,MedianIntensive forestryBirds,lower 95%Intensive forestryBirds,upper 95%Intensive forestryBirds,MedianAnnual cropsAmphibians,lower 95%Annual cropsAmphibians,upper 95%Annual cropsAmphibians,MedianPermanent cropsAmphibians,lower 95%Permanent cropsAmphibians,upper 95%Permanent cropsAmphibians,MedianPastureAmphibians,lower 95%PastureAmphibians,upper 95%PastureAmphibians,MedianUrbanAmphibians,lower 95%UrbanAmphibians,upper 95%UrbanAmphibians,MedianExtensive forestryAmphibians,lower 95%Extensive forestryAmphibians,upper 95%Extensive forestryAmphibians,MedianIntensive forestryAmphibians,lower 95%Intensive forestryAmphibians,upper 95%Intensive forestryAmphibians,MedianAnnual cropsReptiles,lower 95%Annual cropsReptiles,upper 95%Annual cropsReptiles,MedianPermanent cropsReptiles,lower 95%Permanent cropsReptiles,upper 95%Permanent cropsReptiles,MedianPastureReptiles,lower 95%PastureReptiles,upper 95%PastureReptiles,MedianUrbanReptiles,lower 95%UrbanReptiles,upper 95%UrbanReptiles,MedianExtensive forestryReptiles,lower 95%Extensive forestryReptiles,upper 95%Extensive forestryReptiles,MedianIntensive forestryReptiles,lower 95%Intensive forestryReptiles,upper 95%Intensive forestryReptiles
Argentina,1.61256E-11,-4.17572E-11,6.83935E-11,4.5086E-12,-4.24676E-11,7.02622E-11,1.26949E-11,-1.32013E-11,4.07669E-11,2.39666E-11,-6.69356E-11,1.00827E-10,5.73268E-12,-3.11802E-11,4.26247E-11,4.34511E-12,-3.31423E-11,5.99278E-11,1.07075E-11,-3.56211E-11,5.90834E-11,1.34987E-11,-4.1372E-11,6.37127E-11,8.3406E-12,-1.38783E-11,3.3752E-11,2.26646E-11,-6.50325E-11,9.22854E-11,2.00654E-12,-9.42734E-12,2.05813E-11,8.15054E-12,-2.83354E-11,5.4484E-11,9.3737E-12,-2.87549E-11,4.98722E-11,9.01769E-12,-3.17399E-11,5.07781E-11,7.26768E-12,-1.05491E-11,2.25456E-11,1.30951E-11,-3.92807E-11,6.60463E-11,1.71447E-12,-1.52612E-11,2.09491E-11,6.27121E-12,-2.41781E-11,4.7466E-11,3.10058E-12,-1.0873E-11,1.76225E-11,3.00602E-12,-1.20094E-11,1.91701E-11,1.80227E-12,-4.89958E-13,4.96277E-12,4.28452E-12,-1.5355E-11,2.0536E-11,6.17066E-13,-5.46591E-12,6.87705E-12,1.45138E-12,-7.82454E-12,1.26158E-11
Australia,8.3157E-12,-1.78804E-11,4.76282E-11,2.19148E-12,-2.48022E-11,4.37462E-11,6.38524E-12,-1.02794E-11,4.02069E-11,1.11543E-11,-2.47272E-11,5.59992E-11,3.04113E-12,-1.45911E-11,2.78746E-11,2.04595E-12,-1.77002E-11,3.58125E-11,7.97971E-12,-3.4464E-11,5.76548E-11,1.28887E-11,-4.51994E-11,6.79716E-11,9.21591E-12,-1.22538E-11,5.68008E-11,1.67546E-11,-5.96087E-11,7.5102E-11,1.78354E-12,-9.18795E-12,2.11043E-11,7.14039E-12,-2.89928E-11,5.31756E-11,8.36869E-12,-3.16719E-11,5.365E-11,8.08843E-12,-3.42736E-11,5.41968E-11,6.24355E-12,-1.59249E-11,3.58722E-11,1.05244E-11,-4.66096E-11,5.83213E-11,1.92046E-12,-1.25524E-11,2.1083E-11,5.67609E-12,-3.23824E-11,5.01273E-11,3.79247E-12,-1.14342E-11,2.10173E-11,3.63137E-12,-1.35554E-11,2.12563E-11,2.16719E-12,-1.12738E-12,1.32798E-11,4.34174E-12,-1.41055E-11,1.93919E-11,7.72409E-13,-5.77629E-12,8.79749E-12,1.74661E-12,-9.59861E-12,1.39791E-11
Austria,1.0562E-11,-2.06975E-11,4.55941E-11,4.31314E-12,-3.22516E-11,4.26913E-11,7.77755E-12,-2.34646E-11,3.52245E-11,1.55028E-11,-3.75425E-11,6.34374E-11,5.43368E-12,-2.55826E-11,2.36423E-11,3.71918E-12,-2.11091E-11,2.93377E-11,2.28871E-12,-2.77441E-12,8.04468E-12,2.85358E-12,-4.33754E-12,1.16108E-11,1.30131E-12,-9.69559E-12,8.21034E-12,4.12751E-12,-6.45351E-12,1.61449E-11,5.65268E-13,-1.06912E-12,2.72058E-12,1.8295E-12,-2.14652E-12,7.07569E-12,4.69768E-12,-5.30937E-12,1.48834E-11,4.28789E-12,-9.48519E-12,1.65897E-11,2.85812E-12,-9.38865E-12,1.13402E-11,5.78796E-12,-1.04892E-11,1.8945E-11,1.13183E-12,-4.47492E-12,6.94552E-12,3.25038E-12,-6.03938E-12,1.37162E-11,1.56222E-12,-1.68227E-12,4.77276E-12,1.44815E-12,-1.296E-12,5.94671E-12,7.71978E-13,-1.21707E-12,2.60031E-12,1.92825E-12,-1.26233E-12,6.53118E-12,3.39915E-13,-1.5806E-12,1.91929E-12,7.93418E-13,-1.34035E-12,3.23929E-12
ANGUILLA,2.23202E-10,-8.55658E-11,7.49316E-10,1.02218E-10,-2.62877E-10,7.33507E-10,1.51048E-10,-2.15176E-10,7.25628E-10,3.2912E-10,6.23764E-11,8.33426E-10,9.28737E-11,-2.03272E-10,5.60602E-10,8.03435E-11,-2.48074E-10,6.18209E-10,3.44182E-10,-1.33985E-10,1.19392E-09,4.60347E-10,-7.82283E-11,1.15122E-09,1.9788E-10,-4.73311E-10,1.21317E-09,6.90991E-10,1.16458E-10,1.49616E-09,8.61063E-11,-7.43934E-11,6.07188E-10,3.01898E-10,-1.93062E-10,1.09641E-09,2.58032E-10,-1.31343E-10,8.29206E-10,2.56347E-10,-1.06916E-10,8.05151E-10,1.58253E-10,-1.99612E-10,7.16259E-10,3.33293E-10,6.73259E-11,7.88902E-10,5.31412E-11,-1.32477E-10,5.09043E-10,1.79234E-10,-7.95358E-11,7.32528E-10,9.33941E-11,-4.3772E-11,2.71455E-10,9.03305E-11,-3.59909E-11,2.68445E-10,4.71592E-11,-3.20457E-11,2.01793E-10,1.16977E-10,2.74273E-11,2.60507E-10,1.92394E-11,-4.2248E-11,1.65717E-10,4.79292E-11,-4.5445E-11,2.14473E-10
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,2.46763E-13,-1.46954E-12,2.0286E-12,7.77752E-14,-9.07842E-13,1.57203E-12,2.48452E-13,-2.44898E-13,4.31876E-13,4.11161E-13,-1.50224E-12,2.73479E-12,0,0,0,0,0,0,6.78095E-13,-8.06764E-12,8.50056E-12,1.11757E-12,-9.6277E-12,9.90327E-12,8.94974E-13,-1.29653E-12,2.99112E-12,1.78061E-12,-1.45948E-11,1.42054E-11,0,0,0,0,0,0,5.28993E-16,-2.67878E-15,3.82581E-15,5.1613E-16,-3.02523E-15,3.0226E-15,4.71232E-16,-3.42236E-16,9.12289E-16,7.72036E-16,-3.51235E-15,4.45682E-15,0,0,0,0,0,0,1.69735E-12,-1.05738E-11,1.4827E-11,1.58349E-12,-1.16569E-11,1.43596E-11,1.03303E-12,-2.08434E-12,2.97446E-12,2.24963E-12,-1.84288E-11,1.79822E-11,0,0,0,0,0,0
Barbados,2.33421E-10,-8.69512E-11,7.75404E-10,1.06652E-10,-2.74116E-10,7.6016E-10,1.5793E-10,-2.21711E-10,7.52706E-10,3.43986E-10,7.06151E-11,8.57252E-10,9.68597E-11,-2.11602E-10,5.79361E-10,8.41614E-11,-2.58229E-10,6.39833E-10,3.0848E-10,-1.08995E-10,1.03993E-09,4.13363E-10,-3.95E-11,1.00089E-09,1.73143E-10,-3.91069E-10,1.05026E-09,6.17361E-10,1.96838E-10,1.29097E-09,7.7102E-11,-6.11812E-11,5.39091E-10,2.69515E-10,-1.5983E-10,9.66986E-10,2.58319E-10,-1.30602E-10,8.14225E-10,2.56581E-10,-1.05104E-10,7.93812E-10,1.57988E-10,-1.95409E-10,6.97736E-10,3.33494E-10,7.4888E-11,7.68797E-10,5.32425E-11,-1.32646E-10,5.01363E-10,1.79446E-10,-7.76926E-11,7.29202E-10,9.54193E-11,-4.46039E-11,2.7368E-10,9.22472E-11,-3.69113E-11,2.72613E-10,4.81341E-11,-3.27531E-11,2.03386E-10,1.1956E-10,2.86079E-11,2.63847E-10,1.96694E-11,-4.32217E-11,1.67716E-10,4.90446E-11,-4.65811E-11,2.18495E-10
Botswana,4.03684E-12,-8.0655E-12,1.81361E-11,1.01608E-12,-9.05599E-12,1.75508E-11,3.06956E-12,-1.92975E-12,1.36926E-11,6.63369E-12,-1.17548E-11,2.47044E-11,1.41087E-12,-6.59207E-12,1.19043E-11,5.98678E-13,-4.00975E-12,9.03571E-12,4.83E-12,-2.29728E-11,3.6861E-11,8.34241E-12,-2.7334E-11,4.86612E-11,4.83068E-12,-3.07567E-12,2.38163E-11,1.45477E-11,-4.28869E-11,6.56363E-11,1.15328E-12,-5.43999E-12,1.45541E-11,2.58641E-12,-9.61071E-12,1.77659E-11,1.80606E-12,-3.40519E-12,8.01775E-12,1.63374E-12,-4.09539E-12,8.54072E-12,1.21966E-12,-1.51857E-12,4.77147E-12,2.38919E-12,-5.13174E-12,9.86574E-12,3.22413E-13,-1.82847E-12,3.70444E-12,8.97924E-13,-2.64265E-12,6.26248E-12,1.27785E-12,-2.73405E-12,5.49418E-12,1.16907E-12,-3.64455E-12,6.04084E-12,6.86732E-13,-3.47733E-13,2.66798E-12,1.66741E-12,-4.86489E-12,6.69158E-12,2.47828E-13,-1.65118E-12,2.50093E-12,4.3744E-13,-1.59741E-12,3.02821E-12
BERMUDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,3.30163E-12,-2.51735E-12,9.24002E-12,1.51233E-12,-6.69338E-12,1.10833E-11,2.2626E-12,-6.64459E-12,1.08979E-11,5.08271E-12,-8.13745E-12,1.63184E-11,1.41836E-12,-5.8657E-12,8.52379E-12,1.26156E-12,-4.69388E-12,1.08724E-11,1.90583E-12,-1.38179E-12,5.46388E-12,2.61825E-12,-8.77817E-13,7.24428E-12,1.09857E-12,-3.8007E-12,6.38328E-12,3.83142E-12,8.71722E-13,9.92125E-12,5.15361E-13,-5.68913E-13,2.8993E-12,1.84543E-12,-1.19543E-12,6.00717E-12,1.82668E-12,-1.35262E-12,5.32542E-12,1.78425E-12,-3.36117E-12,6.51799E-12,1.06629E-12,-3.36036E-12,5.88681E-12,2.47483E-12,-3.62576E-12,7.79665E-12,3.63604E-13,-1.35728E-12,3.52468E-12,1.2401E-12,-2.72363E-12,5.87747E-12,5.49383E-13,-4.26803E-13,1.46312E-12,5.36399E-13,-7.66737E-13,2.05437E-12,2.70421E-13,-5.31884E-13,1.28923E-12,7.34035E-13,-9.17013E-13,2.25742E-12,1.06695E-13,-3.82883E-13,1.0075E-12,2.83894E-13,-4.57883E-13,1.56054E-12
