ISO3,COUNTRY,Population (2020),Days in year,Game_median_g_capita_day,Game_low95_g_capita_day,Game_high95_g_capita_day,Game_median_kg_country_year,AllMeat_median_kg_country_year,Perc_game,BovineMeat_median_g_capita_day,MuttonGoatMeat_median_g_capita_day,PigMeat_median_g_capita_day,PoultryMeat_median_g_capita_day,BirdMeatNES_median_g_capita_day,HorseMeat_median_g_capita_day,RabbitMeat_median_g_capita_day,RodentMeat_median_g_capita_day,CamelidMeat_median_g_capita_day,MeatDriedNES_median_g_capita_day,MeatNES_median_g_capita_day,SnailNotSeaMeat_median_g_capita_day
CYP,Cyprus,1207359,365.15,0.28311,0.25587,0.2966,124813.8957,29719708.28,0.419970124,1.8753,1.9634,9.3023,8.5925,0.13929,0,0.3767,0,0,0.42965,0.00047498,0
CZE,Czech Republic,10708981,365.15,0.038646,0.034927,0.040488,151120.716,265602732.5,0.056897275,1.9614,0.091065,10.9682,7.4643,0,0.01944,1.9869,0,0,0.61603,0.00115,0
DEU,Germany,83783942,365.15,0.59686,0.53943,0.62531,18260159.61,2180725947,0.837343163,3.5972,0.32055,12.9688,5.8091,0,0.023009,0.2752,0,0,0.59477,0.00096874,0
DJI,Djibouti,988000,365.15,,,,0,,,2.3409,1.9027,0.04979,0.28468,0,0.067805,0,0,0,0,0.00042544,0
DMA,Dominica,71986,365.15,,,,0,,,3.1097,0.59041,4.212,9.6949,0,0,0,0,0,0,0,0
DNK,Denmark,5792202,365.15,0.45904,0.41487,0.48091,970879.9561,136918491.5,0.709093378,7.9586,0.34969,4.4256,8.2207,0,0.018395,0.0030545,0,0,0.75462,0.0014275,0
DOM,Dominican Republic,10847910,365.15,,,,0,,,3.2226,0.082002,3.9706,8.8502,0,0,0,0,0,0,0,0
DZA,Algeria,43851044,365.15,,,,0,,,1.3237,2.6081,0,2.3954,0,0.0057657,0.12532,0,0,0.00027837,0.00001513,0
ECU,Ecuador,17643054,365.15,,,,,337987952.5,0,5.5353,0.1763,4.6709,6.8575,0,0,0.036983,0,0,0.0060823,0.29616,0
EGY,Egypt,102334404,365.15,,,,0,,,3.5434,0.58646,0.002425,3.7531,0.081741,0,0.3688,0,0,0,0.095843,0
