Country name,MedianAnnual cropsMammals,lower 95%Annual cropsMammals,upper 95%Annual cropsMammals,MedianPermanent cropsMammals,lower 95%Permanent cropsMammals,upper 95%Permanent cropsMammals,MedianPastureMammals,lower 95%PastureMammals,upper 95%PastureMammals,MedianUrbanMammals,lower 95%UrbanMammals,upper 95%UrbanMammals,MedianExtensive forestryMammals,lower 95%Extensive forestryMammals,upper 95%Extensive forestryMammals,MedianIntensive forestryMammals,lower 95%Intensive forestryMammals,upper 95%Intensive forestryMammals,MedianAnnual cropsBirds,lower 95%Annual cropsBirds,upper 95%Annual cropsBirds,MedianPermanent cropsBirds,lower 95%Permanent cropsBirds,upper 95%Permanent cropsBirds,MedianPastureBirds,lower 95%PastureBirds,upper 95%PastureBirds,MedianUrbanBirds,lower 95%UrbanBirds,upper 95%UrbanBirds,MedianExtensive forestryBirds,lower 95%Extensive forestryBirds,upper 95%Extensive forestryBirds,MedianIntensive forestryBirds,lower 95%Intensive forestryBirds,upper 95%Intensive forestryBirds,MedianAnnual cropsAmphibians,lower 95%Annual cropsAmphibians,upper 95%Annual cropsAmphibians,MedianPermanent cropsAmphibians,lower 95%Permanent cropsAmphibians,upper 95%Permanent cropsAmphibians,MedianPastureAmphibians,lower 95%PastureAmphibians,upper 95%PastureAmphibians,MedianUrbanAmphibians,lower 95%UrbanAmphibians,upper 95%UrbanAmphibians,MedianExtensive forestryAmphibians,lower 95%Extensive forestryAmphibians,upper 95%Extensive forestryAmphibians,MedianIntensive forestryAmphibians,lower 95%Intensive forestryAmphibians,upper 95%Intensive forestryAmphibians,MedianAnnual cropsReptiles,lower 95%Annual cropsReptiles,upper 95%Annual cropsReptiles,MedianPermanent cropsReptiles,lower 95%Permanent cropsReptiles,upper 95%Permanent cropsReptiles,MedianPastureReptiles,lower 95%PastureReptiles,upper 95%PastureReptiles,MedianUrbanReptiles,lower 95%UrbanReptiles,upper 95%UrbanReptiles,MedianExtensive forestryReptiles,lower 95%Extensive forestryReptiles,upper 95%Extensive forestryReptiles,MedianIntensive forestryReptiles,lower 95%Intensive forestryReptiles,upper 95%Intensive forestryReptiles
Argentina,2.0138E-09,-5.77294E-09,9.68178E-09,5.6886E-10,-6.45446E-09,9.8527E-09,1.60716E-09,-2.12363E-09,5.83766E-09,3.02483E-09,-9.44064E-09,1.49056E-08,6.94467E-10,-4.37205E-09,6.44506E-09,5.27634E-10,-4.35909E-09,8.76277E-09,1.27609E-09,-4.74497E-09,7.77263E-09,1.59201E-09,-5.71004E-09,8.48489E-09,9.78755E-10,-1.8325E-09,4.92947E-09,2.65336E-09,-8.7407E-09,1.19796E-08,2.38043E-10,-1.17816E-09,2.81021E-09,9.36281E-10,-4.00154E-09,7.15401E-09,1.42283E-09,-4.72784E-09,8.61185E-09,1.35756E-09,-5.39168E-09,8.70105E-09,1.07826E-09,-2.05259E-09,4.22089E-09,1.94931E-09,-6.99086E-09,1.07127E-08,2.6784E-10,-2.58295E-09,3.2277E-09,9.75872E-10,-4.5961E-09,7.07736E-09,4.33057E-10,-1.52681E-09,2.59594E-09,4.12533E-10,-1.65297E-09,2.62251E-09,2.50231E-10,-9.37065E-11,7.79669E-10,5.91938E-10,-2.33648E-09,2.91419E-09,8.559E-11,-7.74576E-10,1.00168E-09,2.04114E-10,-1.12549E-09,1.83075E-09
Australia,1.0508E-09,-2.26211E-09,6.3773E-09,3.30695E-10,-3.34237E-09,6.15378E-09,8.17205E-10,-2.1444E-09,5.20233E-09,1.44917E-09,-3.93788E-09,8.76664E-09,4.24539E-10,-2.00553E-09,3.80949E-09,2.82858E-10,-2.59139E-09,4.67954E-09,1.11374E-09,-3.87369E-09,7.61425E-09,1.54715E-09,-6.65335E-09,1.02851E-08,1.46057E-09,-2.68249E-09,7.68002E-09,2.16908E-09,-9.17107E-09,1.20454E-08,2.48298E-10,-1.37235E-09,2.72375E-09,9.02655E-10,-4.17877E-09,7.66533E-09,1.20894E-09,-4.47126E-09,7.45298E-09,1.15458E-09,-4.62542E-09,8.30437E-09,8.85821E-10,-2.51575E-09,4.87079E-09,1.53713E-09,-6.06016E-09,8.83481E-09,2.91778E-10,-1.74232E-09,2.91018E-09,8.12982E-10,-3.78661E-09,7.55072E-09,3.52402E-10,-1.00976E-09,2.31582E-09,3.42239E-10,-1.2449E-09,2.30471E-09,2.06079E-10,-1.84926E-10,1.45064E-09,4.28548E-10,-1.40978E-09,2.24452E-09,7.27455E-11,-5.20305E-10,9.36152E-10,1.63617E-10,-8.28232E-10,1.5261E-09
Austria,4.27528E-09,-7.96149E-09,1.8767E-08,1.75312E-09,-1.27538E-08,1.771E-08,3.11865E-09,-9.46717E-09,1.4395E-08,6.26213E-09,-1.49878E-08,2.6121E-08,2.18469E-09,-1.01486E-08,9.46973E-09,1.48827E-09,-8.3846E-09,1.1594E-08,8.79824E-10,-1.05558E-09,3.07619E-09,1.11021E-09,-1.6509E-09,4.62181E-09,4.96807E-10,-3.62405E-09,3.09527E-09,1.59983E-09,-2.51266E-09,6.37466E-09,2.16897E-10,-4.0489E-10,1.04759E-09,7.07704E-10,-8.28505E-10,2.71519E-09,1.79919E-09,-2.02668E-09,5.48569E-09,1.66148E-09,-3.5964E-09,6.46473E-09,1.09673E-09,-3.65777E-09,4.48683E-09,2.21918E-09,-3.96868E-09,7.10279E-09,4.27077E-10,-1.68678E-09,2.64739E-09,1.23161E-09,-2.30025E-09,5.22321E-09,5.90914E-10,-6.38257E-10,1.80757E-09,5.53277E-10,-5.09784E-10,2.2119E-09,2.93018E-10,-4.59012E-10,1.0042E-09,7.38462E-10,-4.90519E-10,2.49821E-09,1.30003E-10,-6.0736E-10,7.39574E-10,3.02948E-10,-5.24343E-10,1.20647E-09
ANGUILLA,1.37194E-08,-6.35472E-09,6.08389E-08,5.82992E-09,-2.08973E-08,5.94889E-08,8.83255E-09,-1.80113E-08,5.37044E-08,2.04442E-08,2.41567E-09,7.47664E-08,5.43E-09,-1.81802E-08,4.32509E-08,4.71079E-09,-1.88473E-08,5.12655E-08,2.11175E-08,-8.59727E-09,1.03401E-07,2.7867E-08,-5.15781E-09,1.02891E-07,1.17055E-08,-3.49684E-08,9.08737E-08,4.17963E-08,2.49161E-09,1.47725E-07,5.10261E-09,-4.71937E-09,4.57745E-08,1.73979E-08,-1.13534E-08,8.43239E-08,1.4707E-08,-9.46381E-09,6.44472E-08,1.44059E-08,-6.33119E-09,6.83162E-08,8.90103E-09,-1.69061E-08,4.98771E-08,1.96483E-08,2.87938E-09,6.85361E-08,3.14689E-09,-9.44028E-09,3.91886E-08,1.04022E-08,-4.44675E-09,6.06675E-08,5.12807E-09,-3.25802E-09,2.13312E-08,4.94188E-09,-2.10825E-09,2.16522E-08,2.63758E-09,-2.08009E-09,1.57618E-08,6.84789E-09,1.1799E-09,2.10438E-08,1.14731E-09,-2.9282E-09,1.21563E-08,2.8097E-09,-3.47504E-09,1.69197E-08
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,3.75159E-11,-2.08506E-10,2.97229E-10,1.14242E-11,-1.35102E-10,2.32624E-10,3.66913E-11,-3.77048E-11,6.63137E-11,6.00273E-11,-2.09065E-10,3.94256E-10,0,0,0,0,0,0,9.38024E-11,-1.18794E-09,1.15839E-09,1.56626E-10,-1.35083E-09,1.34528E-09,1.23147E-10,-1.861E-10,4.21276E-10,2.5352E-10,-1.98588E-09,1.96895E-09,0,0,0,0,0,0,7.56462E-14,-3.61236E-13,5.6447E-13,7.28624E-14,-4.29246E-13,4.4498E-13,6.61306E-14,-4.90235E-14,1.31274E-13,1.07778E-13,-4.87572E-13,6.56409E-13,0,0,0,0,0,0,2.36602E-10,-1.54923E-09,2.12241E-09,2.28899E-10,-1.62803E-09,1.92516E-09,1.44051E-10,-3.11324E-10,4.57751E-10,3.16155E-10,-2.71944E-09,2.63565E-09,0,0,0,0,0,0
Barbados,1.41073E-08,-6.3208E-09,6.253E-08,5.95356E-09,-2.16772E-08,6.10682E-08,9.04296E-09,-1.85136E-08,5.49113E-08,2.10216E-08,2.90304E-09,7.6716E-08,5.54879E-09,-1.89422E-08,4.44246E-08,4.84545E-09,-1.94369E-08,5.28416E-08,1.73218E-08,-5.86651E-09,8.89455E-08,2.27117E-08,-1.45358E-09,8.77974E-08,9.0427E-09,-2.72298E-08,7.61547E-08,3.40937E-08,8.82969E-09,1.28864E-07,4.10504E-09,-3.47819E-09,3.96487E-08,1.39395E-08,-8.19428E-09,7.08386E-08,1.41423E-08,-9.11689E-09,6.23027E-08,1.3832E-08,-5.92251E-09,6.6599E-08,8.50555E-09,-1.62532E-08,4.73047E-08,1.89182E-08,3.27383E-09,6.64322E-08,3.03328E-09,-9.25767E-09,3.79243E-08,9.99176E-09,-4.11119E-09,5.97559E-08,5.07884E-09,-3.25555E-09,2.14071E-08,4.88238E-09,-2.12762E-09,2.17585E-08,2.6073E-09,-2.0815E-09,1.57216E-08,6.80154E-09,1.18067E-09,2.10132E-08,1.14474E-09,-2.95678E-09,1.21274E-08,2.8022E-09,-3.55078E-09,1.69856E-08
Botswana,2.57573E-10,-5.80883E-10,1.60308E-09,5.5783E-11,-7.51805E-10,1.53747E-09,1.99045E-10,-1.11423E-10,1.23064E-09,4.31075E-10,-8.38656E-10,2.05169E-09,7.84071E-11,-5.31415E-10,1.07505E-09,1.86619E-11,-2.15615E-10,5.80643E-10,2.64254E-10,-1.79831E-09,2.97783E-09,5.24753E-10,-2.04875E-09,4.42922E-09,2.91893E-10,-1.49004E-10,2.24516E-09,8.97938E-10,-3.1279E-09,5.87372E-09,7.02552E-11,-4.1905E-10,1.17834E-09,6.87914E-11,-4.23798E-10,1.19399E-09,8.77173E-11,-2.05348E-10,5.75916E-10,8.1788E-11,-2.6229E-10,6.14205E-10,6.00395E-11,-8.23234E-11,4.06601E-10,1.23405E-10,-3.23186E-10,7.34469E-10,1.40174E-11,-1.22198E-10,2.72322E-10,3.40429E-11,-1.45646E-10,4.33997E-10,6.08519E-11,-1.80049E-10,4.44772E-10,5.55148E-11,-2.40594E-10,4.40024E-10,3.12022E-11,-1.61519E-11,2.17655E-10,8.09792E-11,-2.99852E-10,4.84862E-10,1.10974E-11,-1.16662E-10,1.82536E-10,1.11109E-11,-6.94578E-11,1.91805E-10
BERMUDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium ,1.44106E-09,-1.10658E-09,4.05362E-09,6.70737E-10,-2.92282E-09,4.84555E-09,9.87204E-10,-2.72482E-09,4.57867E-09,2.22247E-09,-3.60422E-09,6.99743E-09,6.17125E-10,-2.47515E-09,3.69896E-09,5.42484E-10,-2.03331E-09,4.697E-09,7.95853E-10,-5.66511E-10,2.2326E-09,1.07843E-09,-3.647E-10,3.05989E-09,4.45278E-10,-1.56567E-09,2.55149E-09,1.57595E-09,3.69979E-10,4.2407E-09,2.05633E-10,-2.15373E-10,1.16143E-09,7.38282E-10,-4.83827E-10,2.48274E-09,7.4127E-10,-5.4289E-10,2.17771E-09,7.39063E-10,-1.44023E-09,2.80232E-09,4.33359E-10,-1.37262E-09,2.43847E-09,1.00945E-09,-1.48633E-09,3.16319E-09,1.50196E-10,-5.73959E-10,1.47044E-09,5.07141E-10,-1.05659E-09,2.38964E-09,2.23658E-10,-1.74632E-10,6.09101E-10,2.20483E-10,-3.14514E-10,8.2939E-10,1.10134E-10,-2.20347E-10,5.19139E-10,2.99853E-10,-3.71204E-10,9.42341E-10,4.47498E-11,-1.57555E-10,4.22889E-10,1.15388E-10,-1.82302E-10,6.30649E-10
